# VVVID RA Dec l b Ks P Amp dist(kpc)
VVV2735241.95-380609.8 273:52:41.95 -38:06:09.8 -4.974 -9.907 14.409 0.79017 0.32 11.8
VVV2732624.49-375455.2 273:26:24.49 -37:54:55.2 -4.963 -9.514 13.761 0.41331 0.29 6.1
VVV2733436.91-375722.1 273:34:36.91 -37:57:22.1 -4.95 -9.629 14.21 0.542868 0.32 8.8
VVV2734153.45-374749.2 273:41:53.45 -37:47:49.2 -4.762 -9.642 13.129 0.56106 0.28 5.3
VVV2741313.37-375727.9 274:13:13.37 -37:57:27.9 -4.719 -10.082 13.407 0.488081 0.34 5.6
VVV2731648.63-373449.5 273:16:48.63 -37:34:49.5 -4.72 -9.249 14.496 0.509359 0.21 9.7
VVV2734616.64-374522.4 273:46:16.64 -37:45:22.4 -4.699 -9.675 14.087 0.781305 0.32 10.1
VVV2741931.17-375812.6 274:19:31.17 -37:58:12.6 -4.693 -10.162 14.277 0.577264 0.33 9.4
VVV2731636.91-373238.6 273:16:36.91 -37:32:38.6 -4.688 -9.23 13.808 0.532229 0.28 7.1
VVV2741114.17-375311.3 274:11:14.17 -37:53:11.3 -4.666 -10.027 14.225 0.529928 0.29 8.7
VVV2732252.16-373248.5 273:22:52.16 -37:32:48.5 -4.652 -9.304 14.344 0.687673 0.24 10.6
VVV2735835.62-374658.5 273:58:35.62 -37:46:58.5 -4.649 -9.832 14.085 0.573895 0.26 8.5
VVV2734105.62-373821.4 273:41:05.62 -37:38:21.4 -4.625 -9.561 14.652 0.474841 0.39 10.1
VVV2741608.33-375124.0 274:16:08.33 -37:51:24.0 -4.61 -10.071 14.652 0.494868 0.26 10.3
VVV2732911.71-373218.7 273:29:11.71 -37:32:18.7 -4.606 -9.375 12.964 0.65003 0.3 5.3
VVV2743039.26-374619.9 274:30:39.26 -37:46:19.9 -4.446 -10.204 14.031 0.552614 0.28 8.1
VVV2733033.28-372154.2 273:30:33.28 -37:21:54.2 -4.441 -9.312 14.236 0.449275 0.3 8.0
VVV2743624.26-374652.8 274:36:24.26 -37:46:52.8 -4.42 -10.276 13.132 0.50951 0.3 5.0
VVV2735602.11-372806.6 273:56:02.11 -37:28:06.6 -4.379 -9.659 12.953 0.555133 0.27 4.8
VVV2743232.22-373707.4 274:32:32.22 -37:37:07.4 -4.296 -10.158 14.581 0.571327 0.31 10.8
VVV2733115.00-371112.5 273:31:15.00 -37:11:12.5 -4.276 -9.239 14.079 0.512049 0.36 8.0
VVV2741820.16-372529.4 274:18:20.16 -37:25:29.4 -4.205 -9.903 14.074 0.611086 0.16 8.8
VVV2743313.37-372939.2 274:33:13.37 -37:29:39.2 -4.178 -10.11 15.892 0.554961 0.34 20.0
VVV2742802.34-372251.6 274:28:02.34 -37:22:51.6 -4.107 -9.998 14.29 0.450187 0.27 8.2
VVV2742101.65-371520.9 274:21:01.65 -37:15:20.9 -4.035 -9.859 14.776 0.556967 0.29 11.7
VVV2742056.80-371424.2 274:20:56.80 -37:14:24.2 -4.022 -9.851 14.357 0.520143 0.32 9.2
VVV2734959.70-365402.8 273:49:59.70 -36:54:02.8 -3.903 -9.331 13.821 0.452614 0.38 6.6
VVV2745338.72-371913.7 274:53:38.72 -37:19:13.7 -3.898 -10.275 13.895 0.645403 0.24 8.3
VVV2740423.85-365626.5 274:04:23.85 -36:56:26.5 -3.851 -9.52 13.631 0.634192 0.26 7.2
VVV2734659.51-364323.7 273:46:59.51 -36:43:23.7 -3.762 -9.214 14.142 0.546263 0.27 8.5
VVV2745658.37-370911.6 274:56:58.37 -37:09:11.6 -3.726 -10.24 14.417 0.483823 0.29 9.1
VVV2740343.90-364712.9 274:03:43.90 -36:47:12.9 -3.716 -9.442 15.289 0.441985 0.38 13.2
VVV2741754.82-365037.6 274:17:54.82 -36:50:37.6 -3.681 -9.637 14.782 0.458781 0.37 10.6
VVV2740502.50-363931.6 274:05:02.50 -36:39:31.6 -3.592 -9.4 14.135 0.596819 0.25 8.9
VVV2744932.43-365404.2 274:49:32.43 -36:54:04.2 -3.541 -10.039 14.325 0.490595 0.3 8.8
VVV2740830.73-362901.3 274:08:30.73 -36:29:01.3 -3.413 -9.362 15.82 0.434575 0.29 17.0
VVV2743124.89-363810.4 274:31:24.89 -36:38:10.4 -3.411 -9.704 14.522 0.574538 0.28 10.5
VVV2743459.05-363905.2 274:34:59.05 -36:39:05.2 -3.403 -9.754 13.326 0.656439 0.25 6.3
VVV2743630.21-363824.1 274:36:30.21 -36:38:24.1 -3.383 -9.767 13.506 0.607478 0.2 6.6
VVV2743504.59-363721.3 274:35:04.59 -36:37:21.3 -3.376 -9.742 13.853 0.6939 0.25 8.4
VVV2744951.66-363429.4 274:49:51.66 -36:34:29.4 -3.243 -9.897 14.314 0.496934 0.34 8.8
VVV2751727.49-364205.6 275:17:27.49 -36:42:05.6 -3.191 -10.284 14.289 0.552859 0.33 9.2
VVV2745133.16-362655.4 274:51:33.16 -36:26:55.4 -3.118 -9.861 14.527 0.544556 0.23 10.2
VVV2742130.69-361312.1 274:21:30.69 -36:13:12.1 -3.094 -9.398 13.709 0.707879 0.3 7.9
VVV2743417.14-361754.9 274:34:17.14 -36:17:54.9 -3.087 -9.587 14.724 0.480716 0.33 10.5
VVV2743157.25-361359.6 274:31:57.25 -36:13:59.6 -3.042 -9.53 13.803 0.45286 0.38 6.5
VVV2744926.42-361647.4 274:49:26.42 -36:16:47.4 -2.977 -9.76 13.537 0.607648 0.33 6.7
VVV2742743.43-360357.6 274:27:43.43 -36:03:57.6 -2.917 -9.403 15.054 0.405131 0.3 11.3
VVV2752031.63-362101.9 275:20:31.63 -36:21:01.9 -2.853 -10.166 13.839 0.729884 0.23 8.6
VVV2741601.06-355439.0 274:16:01.06 -35:54:39.0 -2.849 -9.192 14.66 0.540368 0.3 10.9
VVV2751052.37-361309.0 275:10:52.37 -36:13:09.0 -2.792 -9.991 14.353 0.467854 0.37 8.7
VVV2750114.53-355809.5 275:01:14.53 -35:58:09.5 -2.624 -9.764 14.456 0.534345 0.32 9.8
VVV2743135.06-370306.8 274:31:35.06 -37:03:06.8 -3.787 -9.893 13.694 0.596986 0.26 7.2
VVV2743610.45-363713.1 274:36:10.45 -36:37:13.1 -3.367 -9.754 13.962 0.619276 0.34 8.4
VVV2742808.55-354131.3 274:28:08.55 -35:41:31.3 -2.576 -9.24 15.398 0.452464 0.4 14.1
VVV2745340.78-355159.1 274:53:40.78 -35:51:59.1 -2.577 -9.626 13.798 0.589247 0.25 7.5
VVV2744908.67-354855.4 274:49:08.67 -35:48:55.4 -2.558 -9.549 14.723 0.553814 0.38 11.4
VVV2750300.47-354837.4 275:03:00.47 -35:48:37.4 -2.468 -9.714 13.057 0.545292 0.29 5.0
VVV2753516.75-360109.1 275:35:16.75 -36:01:09.1 -2.462 -10.197 13.976 0.463379 0.32 7.2
VVV2754118.51-360331.8 275:41:18.51 -36:03:31.8 -2.461 -10.287 14.111 0.484856 0.27 7.9
VVV2751318.41-355135.9 275:13:18.41 -35:51:35.9 -2.451 -9.861 13.992 0.531898 0.22 7.8
VVV2743217.82-352945.0 274:32:17.82 -35:29:45.0 -2.373 -9.201 14.424 0.569671 0.31 10.0
VVV2744816.99-353545.5 274:48:16.99 -35:35:45.5 -2.365 -9.44 13.762 0.572931 0.27 7.3
VVV2750042.19-353303.4 275:00:42.19 -35:33:03.4 -2.247 -9.57 14.753 0.538297 0.29 11.4
VVV2745055.55-352208.4 274:50:55.55 -35:22:08.4 -2.143 -9.37 15.27 0.406951 0.34 12.5
VVV2750422.74-352722.1 275:04:22.74 -35:27:22.1 -2.139 -9.572 13.821 0.591975 0.33 7.6
VVV2751108.67-352919.2 275:11:08.67 -35:29:19.2 -2.127 -9.669 15.066 0.503593 0.27 12.7
VVV2745510.32-352213.3 274:55:10.32 -35:22:13.3 -2.118 -9.422 15.299 0.583611 0.23 15.5
VVV2751946.41-353204.7 275:19:46.41 -35:32:04.7 -2.115 -9.794 13.307 0.746993 0.18 6.7
VVV2755245.95-354353.1 275:52:45.95 -35:43:53.1 -2.093 -10.282 14.172 0.730818 0.29 10.1
VVV2753626.95-353709.4 275:36:26.95 -35:37:09.4 -2.09 -10.034 14.354 0.597054 0.28 9.9
VVV2744554.25-351425.7 274:45:54.25 -35:14:25.7 -2.058 -9.251 15.04 0.813829 0.19 16.3
VVV2745144.30-345327.4 274:51:44.30 -34:53:27.4 -1.705 -9.164 13.469 0.601848 0.27 6.5
VVV2753103.63-350828.6 275:31:03.63 -35:08:28.6 -1.689 -9.756 13.981 0.560444 0.25 8.0
VVV2750739.25-345803.8 275:07:39.25 -34:58:03.8 -1.676 -9.393 14.54 0.600759 0.26 10.9
VVV2753654.96-350457.5 275:36:54.96 -35:04:57.5 -1.599 -9.802 14.495 0.595086 0.2 10.6
VVV2752203.16-345613.2 275:22:03.16 -34:56:13.2 -1.559 -9.555 14.28 0.512818 0.3 8.8
VVV2754205.04-350357.8 275:42:05.04 -35:03:57.8 -1.552 -9.858 13.1 0.520327 0.3 5.0
VVV2745707.04-344444.2 274:57:07.04 -34:44:44.2 -1.54 -9.165 14.813 0.475213 0.29 10.9
VVV2750154.72-344558.4 275:01:54.72 -34:45:58.4 -1.529 -9.233 14.702 0.489582 0.34 10.5
VVV2750416.63-344434.0 275:04:16.63 -34:44:34.0 -1.493 -9.251 14.22 0.589237 0.27 9.2
VVV2752054.62-345030.5 275:20:54.62 -34:50:30.5 -1.479 -9.499 14.457 0.571765 0.29 10.2
VVV2752833.40-345156.0 275:28:33.40 -34:51:56.0 -1.454 -9.603 14.256 0.542029 0.24 9.0
VVV2754115.70-344516.3 275:41:15.70 -34:45:16.3 -1.274 -9.709 14.688 0.5392 0.23 11.0
VVV2753305.16-343822.8 275:33:05.16 -34:38:22.8 -1.22 -9.558 13.982 0.583505 0.38 8.2
VVV2752216.05-343230.6 275:22:16.05 -34:32:30.6 -1.199 -9.381 13.922 0.541501 0.22 7.6
VVV2751358.95-342729.1 275:13:58.95 -34:27:29.1 -1.175 -9.242 14.522 0.599481 0.31 10.8
VVV2752134.92-342835.5 275:21:34.92 -34:28:35.5 -1.144 -9.344 14.107 0.554911 0.28 8.4
VVV2754619.69-343303.0 275:46:19.69 -34:33:03.0 -1.058 -9.681 14.444 0.669004 0.3 11.0
VVV2752826.49-342410.7 275:28:26.49 -34:24:10.7 -1.035 -9.395 13.788 0.567302 0.25 7.3
VVV2761405.62-344158.5 276:14:05.62 -34:41:58.5 -1.022 -10.088 13.732 0.535269 0.32 6.9
VVV2754620.97-342713.2 275:46:20.97 -34:27:13.2 -0.969 -9.638 13.988 0.561041 0.26 8.0
VVV2753842.20-342039.2 275:38:42.20 -34:20:39.2 -0.917 -9.495 14.045 0.591048 0.25 8.5
VVV2760436.45-343055.4 276:04:36.45 -34:30:55.4 -0.913 -9.89 14.527 0.564528 0.28 10.4
VVV2752006.09-341205.1 275:20:06.09 -34:12:05.1 -0.904 -9.202 14.192 0.678528 0.21 9.8
VVV2761012.54-342827.2 276:10:12.54 -34:28:27.2 -0.841 -9.941 14.342 0.550343 0.29 9.4
VVV2752614.30-340940.9 275:26:14.30 -34:09:40.9 -0.829 -9.26 13.922 0.47494 0.34 7.1
VVV2760117.58-342148.9 276:01:17.58 -34:21:48.9 -0.795 -9.782 13.999 0.537014 0.26 7.9
VVV2754826.49-341617.6 275:48:26.49 -34:16:17.6 -0.791 -9.583 13.68 0.601341 0.35 7.2
VVV2752752.85-340554.6 275:27:52.85 -34:05:54.6 -0.762 -9.252 14.432 0.443005 0.36 8.8
VVV2761941.49-342627.4 276:19:41.49 -34:26:27.4 -0.752 -10.044 15.437 0.58012 0.24 16.5
VVV2754708.67-341138.0 275:47:08.67 -34:11:38.0 -0.728 -9.532 13.189 0.670084 0.26 6.0
VVV2753217.00-340440.9 275:32:17.00 -34:04:40.9 -0.716 -9.297 14.331 0.54069 0.3 9.3
VVV2763530.59-342942.5 276:35:30.59 -34:29:42.5 -0.705 -10.263 14.005 0.477439 0.34 7.4
VVV2760606.68-341657.6 276:06:06.68 -34:16:57.6 -0.692 -9.806 14.303 0.524002 0.28 9.0
VVV2755443.71-341148.1 275:54:43.71 -34:11:48.1 -0.684 -9.627 13.433 0.645082 0.23 6.6
VVV2754423.55-335758.3 275:44:23.55 -33:57:58.3 -0.539 -9.397 14.83 0.658633 0.25 13.2
VVV2754533.05-335723.9 275:45:33.05 -33:57:23.9 -0.523 -9.407 14.922 0.454223 0.3 11.2
VVV2762548.99-341255.4 276:25:48.99 -34:12:55.4 -0.509 -10.02 13.826 0.602439 0.24 7.7
VVV2761245.83-340703.4 276:12:45.83 -34:07:03.4 -0.5 -9.815 15.634 0.623393 0.25 18.8
