# VVVID RA Dec l b Ks P Amp dist(kpc)
VVV2752436.92-330910.3 275:24:36.92 -33:09:10.3 0.073 -8.787 14.273 0.456171 0.3 8.2
VVV2751507.38-330417.3 275:15:07.38 -33:04:17.3 0.086 -8.632 14.37 0.623873 0.23 10.2
VVV2745539.03-325059.2 274:55:39.03 -32:50:59.2 0.161 -8.289 13.79 0.626041 0.24 7.7
VVV2744123.08-324431.1 274:41:23.08 -32:44:31.1 0.166 -8.062 13.791 0.629378 0.22 7.8
VVV2745836.21-324748.5 274:58:36.21 -32:47:48.5 0.228 -8.302 14.032 0.559394 0.24 8.2
VVV2750735.97-325128.9 275:07:35.97 -32:51:28.9 0.23 -8.442 14.199 0.759065 0.27 10.5
VVV2751532.70-334829.5 275:15:32.70 -33:48:29.5 -0.577 -8.969 13.285 0.534502 0.29 5.6
VVV2751456.49-333350.6 275:14:56.49 -33:33:50.6 -0.36 -8.852 13.533 0.652857 0.25 7.0
VVV2754725.91-325812.2 275:47:25.91 -32:58:12.2 0.383 -8.99 14.331 0.475552 0.16 8.7
VVV2745440.20-323528.0 274:54:40.20 -32:35:28.0 0.388 -8.159 14.433 0.829071 0.21 12.3
VVV2754919.80-325428.2 275:49:19.80 -32:54:28.2 0.451 -8.986 14.729 0.520657 0.3 11.0
VVV2751807.62-323530.4 275:18:07.62 -32:35:30.4 0.538 -8.453 15.129 0.52263 0.22 13.4
VVV2755459.29-324655.5 275:54:59.29 -32:46:55.5 0.601 -9.0 13.437 0.60801 0.26 6.4
VVV2750256.01-322258.3 275:02:56.01 -32:22:58.3 0.628 -8.168 14.148 0.511687 0.33 8.2
VVV2753734.57-323249.7 275:37:34.57 -32:32:49.7 0.703 -8.677 14.198 0.663993 0.23 9.7
VVV2754129.65-323042.2 275:41:29.65 -32:30:42.2 0.76 -8.71 14.705 0.472932 0.24 10.3
VVV2755858.01-323731.7 275:58:58.01 -32:37:31.7 0.768 -8.98 13.084 0.625512 0.24 5.5
VVV2752922.74-322432.2 275:29:22.74 -32:24:32.2 0.775 -8.512 14.413 0.570558 0.26 9.9
VVV2760556.25-323912.0 276:05:56.25 -32:39:12.0 0.787 -9.08 14.068 0.568544 0.21 8.4
VVV2753005.28-322139.1 275:30:05.28 -32:21:39.1 0.823 -8.499 15.004 0.55237 0.35 13.0
VVV2761524.62-323712.8 276:15:24.62 -32:37:12.8 0.877 -9.185 14.089 0.607161 0.18 8.8
VVV2754230.12-322322.8 275:42:30.12 -32:23:22.8 0.877 -8.668 13.426 0.740543 0.35 7.1
VVV2753458.47-321936.8 275:34:58.47 -32:19:36.8 0.885 -8.545 14.25 0.437738 0.27 8.0
VVV2753226.84-321623.3 275:32:26.84 -32:16:23.3 0.917 -8.489 14.036 0.566502 0.32 8.3
VVV2752229.17-321151.5 275:22:29.17 -32:11:51.5 0.921 -8.329 13.805 0.556502 0.32 7.3
VVV2750818.40-315746.5 275:08:18.40 -31:57:46.5 1.041 -8.045 14.171 0.62606 0.22 9.3
VVV2753448.40-320547.9 275:34:48.40 -32:05:47.9 1.092 -8.439 14.803 0.625904 0.2 12.6
VVV2751637.50-314952.8 275:16:37.50 -31:49:52.8 1.213 -8.09 14.074 0.571569 0.29 8.4
VVV2755903.99-320723.9 275:59:03.99 -32:07:23.9 1.223 -8.757 13.732 0.470526 0.35 6.4
VVV2754558.25-320110.0 275:45:58.25 -32:01:10.0 1.233 -8.545 14.902 0.492776 0.31 11.6
VVV2752217.22-315014.7 275:22:17.22 -31:50:14.7 1.245 -8.164 14.57 0.463979 0.4 9.6
VVV2753725.43-315351.6 275:37:25.43 -31:53:51.6 1.288 -8.382 14.587 0.496165 0.32 10.0
VVV2754046.99-315352.7 275:40:46.99 -31:53:52.7 1.31 -8.425 14.278 0.529661 0.29 8.9
VVV2751751.21-314347.1 275:17:51.21 -31:43:47.1 1.313 -8.059 14.636 0.564503 0.3 11.0
VVV2760007.74-315930.3 276:00:07.74 -31:59:30.3 1.349 -8.711 15.387 0.530904 0.33 15.3
VVV2761128.83-320258.6 276:11:28.83 -32:02:58.6 1.369 -8.881 14.338 0.511776 0.3 9.0
VVV2754216.17-315002.6 275:42:16.17 -31:50:02.6 1.377 -8.415 14.116 0.558329 0.29 8.5
VVV2755625.55-315420.3 275:56:25.55 -31:54:20.3 1.403 -8.626 14.079 0.447602 0.22 7.4
VVV2755627.42-315214.5 275:56:27.42 -31:52:14.5 1.435 -8.611 14.015 0.535097 0.33 7.9
VVV2754847.92-314745.3 275:48:47.92 -31:47:45.3 1.453 -8.48 14.808 0.536406 0.27 11.6
VVV2760655.55-315252.5 276:06:55.55 -31:52:52.5 1.493 -8.748 14.588 0.557001 0.32 10.7
VVV2752744.07-313614.3 275:27:44.07 -31:36:14.3 1.49 -8.127 12.989 0.470252 0.32 4.5
VVV2752310.43-312954.0 275:23:10.43 -31:29:54.0 1.556 -8.021 14.282 0.458739 0.33 8.3
VVV2760518.04-314537.3 276:05:18.04 -31:45:37.3 1.592 -8.673 15.23 0.493408 0.33 13.7
VVV2754257.08-313412.0 275:42:57.08 -31:34:12.0 1.619 -8.304 13.564 0.537086 0.26 6.4
VVV2753836.45-312937.8 275:38:36.45 -31:29:37.8 1.66 -8.215 14.107 0.505738 0.3 8.0
VVV2762515.00-314838.5 276:25:15.00 -31:48:38.5 1.674 -8.948 13.429 0.54282 0.3 6.0
VVV2762049.69-314242.1 276:20:49.69 -31:42:42.1 1.735 -8.848 15.472 0.668901 0.3 18.1
VVV2760118.99-313547.9 276:01:18.99 -31:35:47.9 1.714 -8.549 14.168 0.515063 0.31 8.4
VVV2761857.78-314307.1 276:18:57.78 -31:43:07.1 1.717 -8.828 14.36 0.624496 0.33 10.2
VVV2753746.29-312237.5 275:37:46.29 -31:22:37.5 1.76 -8.151 14.159 0.560636 0.27 8.7
VVV2750850.28-322632.4 275:08:50.28 -32:26:32.4 0.613 -8.269 14.489 0.480705 0.35 9.4
VVV2761217.70-322704.7 276:12:17.70 -32:27:04.7 1.011 -9.07 14.13 0.544808 0.26 8.5
VVV2755531.53-320423.4 275:55:31.53 -32:04:23.4 1.246 -8.69 13.411 0.572702 0.3 6.1
VVV2753544.18-311917.3 275:35:44.18 -31:19:17.3 1.797 -8.1 14.468 0.816553 0.26 12.4
VVV2762704.57-313947.8 276:27:04.57 -31:39:47.8 1.819 -8.906 13.545 0.571442 0.36 6.5
VVV2755521.67-312549.7 275:55:21.67 -31:25:49.7 1.826 -8.399 14.318 0.522633 0.27 9.1
VVV2763804.58-314222.7 276:38:04.58 -31:42:22.7 1.85 -9.065 14.233 0.533296 0.26 8.8
VVV2760837.74-312942.4 276:08:37.74 -31:29:42.4 1.853 -8.596 13.872 0.480206 0.3 7.0
VVV2754928.83-311656.0 275:49:28.83 -31:16:56.0 1.921 -8.257 14.241 0.46396 0.3 8.2
VVV2753946.75-311226.6 275:39:46.75 -31:12:26.6 1.926 -8.1 13.973 0.463222 0.37 7.2
VVV2753615.82-310753.9 275:36:15.82 -31:07:53.9 1.971 -8.021 13.919 0.431326 0.38 6.7
VVV2763156.71-312211.2 276:31:56.71 -31:22:11.2 2.116 -8.837 13.731 0.595912 0.27 7.3
VVV2762729.18-311804.1 276:27:29.18 -31:18:04.1 2.15 -8.75 13.878 0.563409 0.27 7.6
VVV2754932.11-305958.9 275:49:32.11 -30:59:58.9 2.176 -8.131 14.124 0.606402 0.22 8.9
VVV2755354.13-310104.8 275:53:54.13 -31:01:04.8 2.188 -8.194 15.248 0.610728 0.3 15.5
VVV2762441.01-310836.5 276:24:41.01 -31:08:36.5 2.274 -8.643 14.359 0.692789 0.3 10.8
VVV2755137.96-305406.0 275:51:37.96 -30:54:06.0 2.278 -8.113 14.343 0.516919 0.27 9.1
VVV2761706.92-310451.3 276:17:06.92 -31:04:51.3 2.282 -8.519 14.271 0.52851 0.31 8.9
VVV2755732.58-305256.7 275:57:32.58 -30:52:56.7 2.334 -8.18 14.416 0.522974 0.3 9.5
VVV2764232.11-310954.7 276:42:32.11 -31:09:54.7 2.37 -8.881 13.974 0.580077 0.29 8.1
VVV2765112.78-311030.6 276:51:12.78 -31:10:30.6 2.416 -8.996 14.142 0.49803 0.33 8.1
VVV2762108.32-305632.3 276:21:08.32 -30:56:32.3 2.433 -8.508 14.353 0.643124 0.33 10.3
VVV2762312.42-305056.7 276:23:12.42 -30:50:56.7 2.531 -8.493 14.302 0.564149 0.22 9.4
VVV2762248.05-305030.6 276:22:48.05 -30:50:30.6 2.535 -8.484 14.411 0.554115 0.25 9.8
VVV2763134.34-305412.3 276:31:34.34 -30:54:12.3 2.536 -8.624 14.284 0.513302 0.27 8.8
VVV2760723.45-304152.8 276:07:23.45 -30:41:52.8 2.565 -8.223 14.539 0.521436 0.34 10.1
VVV2763656.84-304558.7 276:36:56.84 -30:45:58.7 2.695 -8.632 13.93 0.443626 0.38 6.9
VVV2760255.90-302708.1 276:02:55.90 -30:27:08.1 2.757 -8.055 14.62 0.473788 0.36 9.9
VVV2762936.33-303555.0 276:29:36.33 -30:35:55.0 2.799 -8.463 14.939 0.475527 0.28 11.6
VVV2770617.70-304859.7 277:06:17.70 -30:48:59.7 2.838 -9.03 15.109 0.459897 0.28 12.4
VVV2765837.85-304513.0 276:58:37.85 -30:45:13.0 2.846 -8.904 14.233 0.50873 0.2 8.6
VVV2763212.66-303346.1 276:32:12.66 -30:33:46.1 2.848 -8.48 13.765 0.493715 0.24 6.7
VVV2770641.96-304618.4 277:06:41.96 -30:46:18.4 2.882 -9.016 14.52 0.479108 0.38 9.5
VVV2763323.09-303101.2 276:33:23.09 -30:31:01.2 2.897 -8.475 14.107 0.639313 0.28 9.1
VVV2763225.66-302815.0 276:32:25.66 -30:28:15.0 2.933 -8.442 13.827 0.64377 0.37 8.0
VVV2770127.42-303916.6 277:01:27.42 -30:39:16.6 2.954 -8.897 13.904 0.518065 0.3 7.4
VVV2762418.51-301959.3 276:24:18.51 -30:19:59.3 3.004 -8.276 13.491 0.588256 0.28 6.5
VVV2770724.72-303455.0 277:07:24.72 -30:34:55.0 3.059 -8.941 14.385 0.635021 0.26 10.4
VVV2760923.91-300923.1 276:09:23.91 -30:09:23.1 3.066 -8.004 14.957 0.531333 0.37 12.5
VVV2771624.03-303255.3 277:16:24.03 -30:32:55.3 3.147 -9.042 13.964 0.577297 0.3 8.1
VVV2763350.04-311358.0 276:33:50.04 -31:13:58.0 2.252 -8.8 14.382 0.485307 0.34 9.0
VVV2762435.50-295919.2 276:24:35.50 -29:59:19.2 3.317 -8.125 14.146 0.536907 0.3 8.5
VVV2763750.04-300210.2 276:37:50.04 -30:02:10.2 3.361 -8.317 14.744 0.531141 0.23 11.2
VVV2772036.21-301939.4 277:20:36.21 -30:19:39.4 3.374 -8.998 14.179 0.469728 0.35 8.0
VVV2764356.13-295956.1 276:43:56.13 -29:59:56.1 3.434 -8.379 14.149 0.616101 0.34 9.1
VVV2762658.25-294930.4 276:26:58.25 -29:49:30.4 3.48 -8.082 14.273 0.528164 0.3 8.9
VVV2764849.21-295654.2 276:48:49.21 -29:56:54.2 3.512 -8.419 14.824 0.653992 0.25 13.1
VVV2772302.34-300956.8 277:23:02.34 -30:09:56.8 3.537 -8.958 13.572 0.452104 0.35 5.8
VVV2764630.94-295149.4 276:46:30.94 -29:51:49.4 3.574 -8.352 14.702 0.488993 0.21 10.5
VVV2770716.63-295836.2 277:07:16.63 -29:58:36.2 3.606 -8.67 14.601 0.544609 0.32 10.6
VVV2771043.00-295751.5 277:10:43.00 -29:57:51.5 3.64 -8.709 14.99 0.445537 0.27 11.5
VVV2770434.10-295349.9 277:04:34.10 -29:53:49.9 3.661 -8.6 14.796 0.550982 0.28 11.7
VVV2771300.24-295715.5 277:13:00.24 -29:57:15.5 3.664 -8.735 14.753 0.390274 0.4 9.5
VVV2773653.55-300103.9 277:36:53.55 -30:01:03.9 3.761 -9.072 13.414 0.419562 0.22 5.2
VVV2770444.29-294210.4 277:04:44.29 -29:42:10.4 3.838 -8.516 13.879 0.677746 0.3 8.4
VVV2764958.83-293305.1 276:49:58.83 -29:33:05.1 3.878 -8.257 12.782 0.624945 0.33 4.7
VVV2764748.87-293150.5 276:47:48.87 -29:31:50.5 3.883 -8.219 14.604 0.534614 0.31 10.5
VVV2765352.38-293132.2 276:53:52.38 -29:31:32.2 3.927 -8.296 14.007 0.584505 0.3 8.3
VVV2773520.28-294827.5 277:35:20.28 -29:48:27.5 3.942 -8.959 15.053 0.463678 0.26 12.1
VVV2770425.91-293419.3 277:04:25.91 -29:34:19.3 3.954 -8.453 14.694 0.569684 0.22 11.4
VVV2773742.89-294823.7 277:37:42.89 -29:48:23.7 3.958 -8.989 14.846 0.456486 0.31 10.9
VVV2772835.16-293903.5 277:28:35.16 -29:39:03.5 4.04 -8.802 14.052 0.565368 0.29 8.3
VVV2765731.05-291747.4 276:57:31.05 -29:17:47.4 4.158 -8.241 14.255 0.475663 0.32 8.4
VVV2770608.32-291328.3 277:06:08.32 -29:13:28.3 4.28 -8.321 13.091 0.559538 0.28 5.2
VVV2772352.38-291532.8 277:23:52.38 -29:15:32.8 4.365 -8.567 14.036 0.529532 0.24 8.0
VVV2765549.57-290221.1 276:55:49.57 -29:02:21.1 4.38 -8.104 14.239 0.537845 0.29 8.9
VVV2764936.45-285937.0 276:49:36.45 -28:59:37.0 4.38 -8.002 13.918 0.693611 0.33 8.7
VVV2773326.71-291717.9 277:33:26.71 -29:17:17.9 4.401 -8.705 14.778 0.448593 0.4 10.4
VVV2770128.83-290328.0 277:01:28.83 -29:03:28.0 4.4 -8.186 14.844 0.439228 0.34 10.6
VVV2773936.45-291811.5 277:39:36.45 -29:18:11.5 4.427 -8.792 14.197 0.462299 0.31 8.0
VVV2771159.53-290533.2 277:11:59.53 -29:05:33.2 4.438 -8.338 14.001 0.569376 0.3 8.1
VVV2780254.49-291936.9 278:02:54.49 -29:19:36.9 4.557 -9.106 14.324 0.533732 0.3 9.2
VVV2770724.03-285430.9 277:07:24.03 -28:54:30.9 4.574 -8.196 14.077 0.475703 0.24 7.7
VVV2775456.84-291340.0 277:54:56.84 -29:13:40.0 4.595 -8.958 14.33 0.427241 0.35 8.2
VVV2773246.99-290410.1 277:32:46.99 -29:04:10.1 4.595 -8.599 14.244 0.5787 0.25 9.2
VVV2773221.45-290306.2 277:32:21.45 -29:03:06.2 4.608 -8.586 14.316 0.560808 0.38 9.4
VVV2771207.62-285237.2 277:12:07.62 -28:52:37.2 4.634 -8.244 13.6 0.503692 0.35 6.3
VVV2780427.78-290824.1 278:04:27.78 -29:08:24.1 4.737 -9.044 14.964 0.526072 0.27 12.4
VVV2773831.29-285655.7 277:38:31.29 -28:56:55.7 4.742 -8.621 15.136 0.535667 0.24 13.6
VVV2770012.89-294426.6 277:00:12.89 -29:44:26.6 3.774 -8.474 14.601 0.594099 0.25 11.1
VVV2771228.37-291848.5 277:12:28.37 -29:18:48.5 4.241 -8.443 13.637 0.655261 0.36 7.4
VVV2774341.25-292227.6 277:43:41.25 -29:22:27.6 4.389 -8.876 14.108 0.578777 0.3 8.6
VVV2771556.01-285810.0 277:15:56.01 -28:58:10.0 4.575 -8.335 14.618 0.445788 0.36 9.6
VVV2770822.96-284322.2 277:08:22.96 -28:43:22.2 4.748 -8.126 15.018 0.759659 0.21 15.6
VVV2781407.74-291057.2 278:14:07.74 -29:10:57.2 4.761 -9.189 14.508 0.573763 0.3 10.4
VVV2774713.00-285835.5 277:47:13.00 -28:58:35.5 4.773 -8.746 14.825 0.533058 0.35 11.7
VVV2774445.94-285330.6 277:44:45.94 -28:53:30.6 4.834 -8.677 14.322 0.506598 0.3 8.9
VVV2774345.00-285232.1 277:43:45.00 -28:52:32.1 4.842 -8.656 14.646 0.69888 0.28 12.4
VVV2772141.01-284124.0 277:21:41.01 -28:41:24.0 4.866 -8.285 14.417 0.485154 0.29 9.1
VVV2772230.70-284122.8 277:22:30.70 -28:41:22.8 4.871 -8.296 13.743 0.612486 0.23 7.5
VVV2770747.46-283358.6 277:07:47.46 -28:33:58.6 4.886 -8.048 14.523 0.501339 0.35 9.8
VVV2773057.42-284318.0 277:30:57.42 -28:43:18.0 4.898 -8.421 14.403 0.65442 0.28 10.7
VVV2773408.67-284047.4 277:34:08.67 -28:40:47.4 4.957 -8.444 14.917 0.51885 0.27 12.1
VVV2773409.84-283514.5 277:34:09.84 -28:35:14.5 5.041 -8.403 13.489 0.599934 0.33 6.5
VVV2773703.29-283518.7 277:37:03.29 -28:35:18.7 5.059 -8.441 14.124 0.473981 0.36 7.8
VVV2771301.76-282200.5 277:13:01.76 -28:22:00.5 5.101 -8.028 14.173 0.481837 0.36 8.1
VVV2772739.72-282501.1 277:27:39.72 -28:25:01.1 5.152 -8.242 14.507 0.623395 0.25 10.9
VVV2775348.87-282845.5 277:53:48.87 -28:28:45.5 5.268 -8.613 15.516 0.477546 0.34 15.4
VVV2772551.80-281544.2 277:25:51.80 -28:15:44.2 5.28 -8.149 14.625 0.733886 0.25 12.6
VVV2781923.09-283543.8 278:19:23.09 -28:35:43.8 5.329 -9.0 14.733 0.574082 0.26 11.6
VVV2772552.74-280931.5 277:25:52.74 -28:09:31.5 5.374 -8.103 14.417 0.512792 0.29 9.4
VVV2773637.50-281016.7 277:36:37.50 -28:10:16.7 5.433 -8.25 14.582 0.547339 0.3 10.6
VVV2780427.66-281643.3 278:04:27.66 -28:16:43.3 5.519 -8.664 13.862 0.553983 0.21 7.5
VVV2775949.80-281402.2 277:59:49.80 -28:14:02.2 5.53 -8.584 14.507 0.489275 0.34 9.6
VVV2780519.70-281514.8 278:05:19.70 -28:15:14.8 5.547 -8.665 14.123 0.465731 0.32 7.7
VVV2775638.20-280021.1 277:56:38.20 -28:00:21.1 5.715 -8.441 13.36 0.818357 0.24 7.3
VVV2775856.25-280031.7 277:58:56.25 -28:00:31.7 5.728 -8.472 15.372 0.516097 0.34 15.0
VVV2775536.91-275158.3 277:55:36.91 -27:51:58.3 5.835 -8.365 14.354 0.60828 0.24 10.0
VVV2783432.82-280737.2 278:34:32.82 -28:07:37.2 5.854 -8.994 13.99 0.589057 0.24 8.2
VVV2774528.71-274613.8 277:45:28.71 -27:46:13.8 5.855 -8.189 13.549 0.658814 0.3 7.1
VVV2781354.61-274735.8 278:13:54.61 -27:47:35.8 6.022 -8.575 14.277 0.543889 0.26 9.1
VVV2783136.45-275509.2 278:31:36.45 -27:55:09.2 6.024 -8.864 13.652 0.648433 0.27 7.4
VVV2783955.42-275612.1 278:39:55.42 -27:56:12.1 6.062 -8.982 14.81 0.448815 0.21 10.6
VVV2781533.75-274314.3 278:15:33.75 -27:43:14.3 6.099 -8.564 15.255 0.557432 0.31 14.8
VVV2774817.12-272928.2 277:48:17.12 -27:29:28.2 6.126 -8.102 14.179 0.477213 0.34 8.1
VVV2775730.24-272911.1 277:57:30.24 -27:29:11.1 6.192 -8.222 14.31 0.601417 0.34 9.7
VVV2783142.66-282111.3 278:31:42.66 -28:21:11.3 5.63 -9.056 14.201 0.659387 0.3 9.7
VVV2774835.04-275222.7 277:48:35.04 -27:52:22.7 5.783 -8.275 13.87 0.682715 0.3 8.4
VVV2784930.58-275113.6 278:49:30.58 -27:51:13.6 6.201 -9.072 13.956 0.749968 0.23 9.2
VVV2782728.47-273848.9 278:27:28.47 -27:38:48.9 6.244 -8.69 14.007 0.559425 0.29 8.1
VVV2784726.49-274702.3 278:47:26.49 -27:47:02.3 6.251 -9.014 14.259 0.571719 0.34 9.2
VVV2784748.17-274402.4 278:47:48.17 -27:44:02.4 6.298 -8.997 14.724 0.435724 0.37 10.0
VVV2781322.62-272737.5 278:13:22.62 -27:27:37.5 6.32 -8.42 15.191 0.5452 0.3 14.1
VVV2783732.92-273715.5 278:37:32.92 -27:37:15.5 6.334 -8.812 13.29 0.664531 0.28 6.3
VVV2784846.17-274151.2 278:48:46.17 -27:41:51.2 6.338 -8.994 15.382 0.507344 0.34 14.9
VVV2784429.65-273947.0 278:44:29.65 -27:39:47.0 6.341 -8.922 13.911 0.54303 0.22 7.6
VVV2782828.00-273040.6 278:28:28.00 -27:30:40.6 6.374 -8.643 14.047 0.452798 0.18 7.4
VVV2785019.92-273504.6 278:50:19.92 -27:35:04.6 6.451 -8.965 14.055 0.694758 0.27 9.3
VVV2775532.22-271014.3 277:55:32.22 -27:10:14.3 6.464 -8.055 14.012 0.680851 0.31 9.0
VVV2784533.99-272617.7 278:45:33.99 -27:26:17.7 6.553 -8.838 15.524 0.617577 0.32 17.8
VVV2782446.75-271619.3 278:24:46.75 -27:16:19.3 6.567 -8.488 14.494 0.44663 0.37 9.1
VVV2784155.20-272020.2 278:41:55.20 -27:20:20.2 6.619 -8.746 14.253 0.628674 0.18 9.7
VVV2781457.42-270500.9 278:14:57.42 -27:05:00.9 6.672 -8.274 14.313 0.552364 0.33 9.3
VVV2781510.32-270500.9 278:15:10.32 -27:05:00.9 6.674 -8.277 14.283 0.616333 0.23 9.7
VVV2785408.79-271717.0 278:54:08.79 -27:17:17.0 6.746 -8.886 13.882 0.49413 0.33 7.1
VVV2785301.63-270932.9 278:53:01.63 -27:09:32.9 6.856 -8.815 14.331 0.511091 0.24 9.0
VVV2782221.92-265556.3 278:22:21.92 -26:55:56.3 6.859 -8.306 14.577 0.477158 0.32 9.8
VVV2784951.33-270140.2 278:49:51.33 -27:01:40.2 6.954 -8.715 14.552 0.484611 0.27 9.7
VVV2791149.09-271023.3 279:11:49.09 -27:10:23.3 6.966 -9.071 13.861 0.67975 0.32 8.4
VVV2785442.19-270026.8 278:54:42.19 -27:00:26.8 7.005 -8.77 14.268 0.501819 0.33 8.6
VVV2781918.51-264230.6 278:19:18.51 -26:42:30.6 7.041 -8.166 14.44 0.549345 0.29 9.9
VVV2782047.34-264255.1 278:20:47.34 -26:42:55.1 7.045 -8.189 13.898 0.556929 0.25 7.7
VVV2785723.67-265310.4 278:57:23.67 -26:53:10.4 7.133 -8.753 13.977 0.531082 0.29 7.7
VVV2791631.29-270025.5 279:16:31.29 -27:00:25.5 7.149 -9.061 13.844 0.563276 0.31 7.5
VVV2785255.90-265000.3 278:52:55.90 -26:50:00.3 7.151 -8.67 14.784 0.590479 0.3 12.1
VVV2785304.92-264853.6 278:53:04.92 -26:48:53.6 7.169 -8.664 14.838 0.490952 0.42 11.3
VVV2785014.66-264403.7 278:50:14.66 -26:44:03.7 7.223 -8.591 12.774 0.570321 0.28 4.5
VVV2782511.49-262621.4 278:25:11.49 -26:26:21.4 7.324 -8.125 13.632 0.663064 0.3 7.4
VVV2785848.51-264001.0 278:58:48.51 -26:40:01.0 7.341 -8.676 13.85 0.561337 0.31 7.5
VVV2790950.62-263830.5 279:09:50.62 -26:38:30.5 7.437 -8.812 14.94 0.616314 0.32 13.4
VVV2792916.64-264651.1 279:29:16.64 -26:46:51.1 7.439 -9.133 15.318 0.544695 0.25 15.0
VVV2783812.30-262329.3 278:38:12.30 -26:23:29.3 7.454 -8.278 13.993 0.539095 0.22 7.9
VVV2792343.24-264207.7 279:23:43.24 -26:42:07.7 7.474 -9.024 14.197 0.539779 0.25 8.7
VVV2791310.42-263438.9 279:13:10.42 -26:34:38.9 7.518 -8.829 14.228 0.625168 0.18 9.6
VVV2783051.57-261031.5 278:30:51.57 -26:10:31.5 7.601 -8.084 14.187 0.456886 0.34 7.9
VVV2793113.01-263637.9 279:31:13.01 -26:36:37.9 7.607 -9.085 13.827 0.558887 0.27 7.4
VVV2783050.28-271603.2 278:30:50.28 -27:16:03.2 6.611 -8.567 14.199 0.520592 0.39 8.5
VVV2783839.14-263624.5 278:38:39.14 -26:36:24.5 7.262 -8.38 14.324 0.566049 0.24 9.5
VVV2783521.45-262902.6 278:35:21.45 -26:29:02.6 7.351 -8.281 14.221 0.571759 0.25 9.1
VVV2792450.16-263809.3 279:24:50.16 -26:38:09.3 7.541 -9.01 14.421 0.597001 0.27 10.2
VVV2790819.80-261812.5 279:08:19.80 -26:18:12.5 7.735 -8.643 13.744 0.551794 0.29 7.1
VVV2790926.96-261326.3 279:09:26.96 -26:13:26.3 7.814 -8.624 13.975 0.652197 0.33 8.6
VVV2793515.83-262228.8 279:35:15.83 -26:22:28.8 7.848 -9.036 14.378 0.568085 0.25 9.8
VVV2792029.65-261507.8 279:20:29.65 -26:15:07.8 7.862 -8.784 14.358 0.495955 0.33 9.0
VVV2791136.67-260949.1 279:11:36.67 -26:09:49.1 7.883 -8.626 14.138 0.651479 0.29 9.4
VVV2790732.82-260416.8 279:07:32.82 -26:04:16.8 7.94 -8.531 14.545 0.635538 0.33 11.2
VVV2785034.33-255628.6 278:50:34.33 -25:56:28.6 7.945 -8.245 14.505 0.433903 0.34 9.0
VVV2792531.41-261129.5 279:25:31.41 -26:11:29.5 7.95 -8.825 14.114 0.626889 0.27 9.1
VVV2785257.78-255505.1 278:52:57.78 -25:55:05.1 7.982 -8.267 15.098 0.522316 0.34 13.2
VVV2794755.66-261839.9 279:47:55.66 -26:18:39.9 7.99 -9.179 14.766 0.550152 0.27 11.6
VVV2785952.26-255209.2 278:59:52.26 -25:52:09.2 8.072 -8.339 14.498 0.53982 0.34 10.1
VVV2790542.88-255419.0 279:05:42.88 -25:54:19.0 8.079 -8.433 14.176 0.632495 0.33 9.4
VVV2790158.95-254444.4 279:01:58.95 -25:44:44.4 8.199 -8.313 14.215 0.601728 0.31 9.3
VVV2785950.28-253902.2 278:59:50.28 -25:39:02.2 8.27 -8.242 14.316 0.540856 0.23 9.2
VVV2793205.04-255105.2 279:32:05.04 -25:51:05.2 8.303 -8.765 14.117 0.52339 0.25 8.2
VVV2793252.38-254750.0 279:32:52.38 -25:47:50.0 8.358 -8.752 14.071 0.47193 0.34 7.6
VVV2795655.91-254231.6 279:56:55.91 -25:42:31.6 8.598 -9.038 15.217 0.514846 0.27 13.9
VVV2790050.38-251259.9 279:00:50.38 -25:12:59.9 8.67 -8.063 14.639 0.760104 0.25 13.0
VVV2793207.50-251840.5 279:32:07.50 -25:18:40.5 8.795 -8.528 14.69 0.463188 0.33 10.2
VVV2793159.41-251732.7 279:31:59.41 -25:17:32.7 8.811 -8.518 13.542 0.487524 0.32 6.0
VVV2794749.45-250716.6 279:47:49.45 -25:07:16.6 9.072 -8.658 13.083 0.573984 0.3 5.2
VVV2795837.62-251028.9 279:58:37.62 -25:10:28.9 9.096 -8.828 13.933 0.794553 0.22 9.4
VVV2794111.60-250104.7 279:41:11.60 -25:01:04.7 9.122 -8.523 15.426 0.594781 0.26 16.6
VVV2794541.25-250127.3 279:45:41.25 -25:01:27.3 9.146 -8.586 14.383 0.577711 0.33 9.9
VVV2792248.05-245034.5 279:22:48.05 -24:50:34.5 9.157 -8.196 14.445 0.5251 0.31 9.7
VVV2784020.39-255504.9 278:40:20.39 -25:55:04.9 7.897 -8.097 14.539 0.606487 0.27 10.9
VVV2793315.82-260150.1 279:33:15.82 -26:01:50.1 8.148 -8.859 14.628 0.562107 0.31 10.9
VVV2795512.54-250520.2 279:55:12.54 -25:05:20.2 9.151 -8.744 13.968 0.720088 0.31 9.1
VVV2792002.00-244102.7 279:20:02.00 -24:41:02.7 9.282 -8.088 14.421 0.445665 0.4 8.7
VVV2792024.25-244030.9 279:20:24.25 -24:40:30.9 9.293 -8.089 14.494 0.47428 0.34 9.4
VVV2801509.96-245640.7 280:15:09.96 -24:56:40.7 9.416 -8.952 14.853 0.591642 0.22 12.5
VVV2802437.38-245701.6 280:24:37.38 -24:57:01.6 9.473 -9.083 14.317 0.572793 0.26 9.5
VVV2792803.99-242843.7 279:28:03.99 -24:28:43.7 9.523 -8.107 15.747 0.56062 0.36 18.8
VVV2795336.09-243912.9 279:53:36.09 -24:39:12.9 9.536 -8.531 15.989 0.515841 0.34 20.2
